Number,City,Gender,Age,Income,Illness
319,Dallas,Female,39,33083,No
320,Dallas,Male,37,59340,No
321,Dallas,Male,48,38920,No
322,Dallas,Female,40,25830,No
323,Dallas,Male,25,56736,No
324,Dallas,Male,28,30162,No
325,Dallas,Male,38,56717,No
326,Dallas,Female,44,38410,No
327,Dallas,Male,54,44959,No
328,Dallas,Female,47,28613,No
329,Dallas,Female,42,36723,No
330,Dallas,Female,62,29099,Yes
331,Dallas,Male,50,44166,No
332,Dallas,Female,61,41837,No
333,Dallas,Male,29,57912,No
334,Dallas,Male,63,55613,No
335,Dallas,Male,51,60860,No
336,Dallas,Male,28,67086,No
337,Dallas,Male,45,42938,No
338,Dallas,Male,44,45514,Yes
339,Dallas,Male,36,40552,No
340,Dallas,Female,29,33230,No
341,Dallas,Male,49,59647,No
342,Dallas,Male,44,68651,No
343,Dallas,Male,37,48323,No
344,Dallas,Male,42,42899,No
345,Dallas,Male,30,49882,No
346,Dallas,Male,47,71176,No
347,Dallas,Female,36,36397,Yes
348,Dallas,Female,33,53269,No
349,Dallas,Female,55,37407,No
350,Dallas,Male,39,42427,No
351,Dallas,Male,61,31618,No
352,Dallas,Female,51,31580,No
353,Dallas,Female,35,11926,No
354,Dallas,Female,49,35509,No
355,Dallas,Male,43,58988,Yes
356,Dallas,Male,37,32973,No
357,Dallas,Female,34,27915,No
358,Dallas,Male,51,55640,No
359,Dallas,Female,48,36317,No
360,Dallas,Female,27,53163,No
361,Dallas,Male,62,28695,No
362,Dallas,Female,33,23952,No
363,Dallas,Female,33,31781,No
364,Dallas,Male,50,43563,No
365,Dallas,Female,32,31671,No
366,Dallas,Female,49,42065,No
367,Dallas,Female,59,27436,No
368,Dallas,Female,52,46311,No
369,Dallas,Female,43,45458,No
370,Dallas,Female,44,47435,No
371,Dallas,Male,44,46572,No
372,Dallas,Female,25,46955,No
373,Dallas,Female,36,41171,No
374,Dallas,Female,36,51153,No
375,Dallas,Male,60,56650,No
376,Dallas,Male,61,44592,No
377,Dallas,Female,43,38154,No
378,Dallas,Male,47,58870,No
379,Dallas,Female,63,52706,No
380,Dallas,Male,54,45465,Yes
381,Dallas,Female,48,41742,No
382,Dallas,Male,36,34889,No
383,Dallas,Female,61,50266,No
384,Dallas,Female,30,51144,No
385,Dallas,Male,45,70565,No
386,Dallas,Male,57,34817,No
387,Dallas,Male,61,50642,No
388,Dallas,Female,56,11535,No
389,Dallas,Male,42,65963,No
390,Dallas,Male,37,53465,No
391,Dallas,Female,48,33766,No
392,Dallas,Female,38,47770,No
393,Dallas,Female,54,34871,No
394,Dallas,Female,54,45362,No
395,Dallas,Male,36,52638,No
396,Dallas,Female,36,20029,No
397,Dallas,Male,34,42854,No
398,Dallas,Male,62,49958,Yes
399,Dallas,Male,50,26085,No
400,Dallas,Male,38,43929,No
401,Dallas,Male,42,39999,No
402,Dallas,Male,43,51904,No
403,Dallas,Female,35,26635,No
404,Dallas,Male,42,53418,Yes
405,Dallas,Male,65,54304,No
406,Dallas,Male,39,62155,No
407,Dallas,Female,65,6733,No
408,Dallas,Female,47,26653,No
409,Dallas,Male,27,54812,No
410,Dallas,Female,43,42320,No
411,Dallas,Male,56,62832,No
412,Dallas,Male,62,60311,No
413,Dallas,Female,60,38837,No
414,Dallas,Female,53,42258,No
415,Dallas,Male,35,55379,No
416,Dallas,Male,29,54090,No
417,Dallas,Male,51,56877,No
418,Dallas,Male,42,40294,No
419,Dallas,Male,31,36154,No
420,Dallas,Female,59,43318,No
421,Dallas,Male,46,47998,No
422,Dallas,Male,42,34580,No
423,Dallas,Female,56,50977,No
424,Dallas,Female,28,58021,No
425,Dallas,Male,33,34316,No
426,Dallas,Female,59,38877,No
427,Dallas,Female,40,43548,No
428,Dallas,Female,56,42285,No
429,Dallas,Male,52,52834,No
430,Dallas,Female,36,47566,No
431,Dallas,Male,51,44138,No
432,Dallas,Male,55,49735,No
433,Dallas,Female,48,39159,No
434,Dallas,Female,54,54271,No
435,Dallas,Female,58,42891,No
436,Dallas,Female,61,45376,No
437,Dallas,Female,64,51749,No
438,Dallas,Male,31,30898,No
439,Dallas,Male,28,45472,No
440,Dallas,Male,59,54936,No
441,Dallas,Female,27,43601,Yes
442,Dallas,Female,64,38107,No
443,Dallas,Male,25,51221,No
444,Dallas,Male,49,50653,Yes
445,Dallas,Female,60,59483,No
446,Dallas,Male,30,41928,No
447,Dallas,Male,41,52087,No
448,Dallas,Male,47,42597,No
449,Dallas,Female,46,41864,No
450,Dallas,Male,43,41867,Yes
451,Dallas,Male,56,51520,No
452,Dallas,Male,64,56658,No
453,Dallas,Female,26,41854,No
454,Dallas,Female,30,43934,No
455,Dallas,Female,38,41575,No
456,Dallas,Male,42,32310,No
457,Dallas,Male,42,61088,No
458,Dallas,Male,30,43811,No
459,Dallas,Male,50,64300,No
460,Dallas,Female,36,33546,No
461,Dallas,Male,64,55192,Yes
462,Dallas,Female,40,41087,No
463,Dallas,Male,62,39947,No
464,Dallas,Male,41,48400,No
465,Dallas,Male,41,39335,No
466,Dallas,Male,53,58013,No
467,Dallas,Male,38,60514,No
468,Dallas,Female,45,46662,No
469,Dallas,Male,28,49682,Yes
470,Dallas,Male,65,52691,No
471,Dallas,Female,58,27137,Yes
472,Dallas,Male,59,53759,No
473,Dallas,Male,41,64692,Yes
474,Dallas,Female,39,66612,No
475,Dallas,Female,38,51273,No
476,Dallas,Male,62,48206,Yes
477,Dallas,Male,37,37940,No
478,Dallas,Female,30,64033,No
479,Dallas,Male,39,52353,No
480,Dallas,Male,29,53607,No
481,Dallas,Female,57,55947,No
482,Dallas,Male,41,56665,No
483,Dallas,Female,29,51383,No
484,Dallas,Female,48,57622,No
485,Dallas,Male,58,42291,No
486,Dallas,Female,30,30199,No
487,Dallas,Male,57,54733,No
488,Dallas,Female,27,40026,Yes
489,Dallas,Male,49,49247,No
490,Dallas,Male,60,52773,No
491,Dallas,Male,52,48091,No
492,Dallas,Female,35,48737,No
493,Dallas,Female,32,29352,No
494,Dallas,Male,33,31758,No
495,Dallas,Male,29,55608,No
496,Dallas,Male,44,51679,No
497,Dallas,Male,44,42288,No
498,Dallas,Male,58,55464,No
499,Dallas,Male,38,57047,No
500,Dallas,Female,59,30366,No
501,Dallas,Male,50,51169,No
502,Dallas,Male,39,46001,No
503,Dallas,Female,33,34911,No
504,Dallas,Male,51,47034,No
505,Dallas,Female,55,54490,No
506,Dallas,Female,29,52473,No
507,Dallas,Female,54,38422,No
508,Dallas,Female,29,29802,No
509,Dallas,Male,44,60139,No
510,Dallas,Female,36,29667,No
511,Dallas,Female,55,47175,No
512,Dallas,Female,65,35905,No
513,Dallas,Female,59,43834,Yes
514,Dallas,Male,41,58810,No
515,Dallas,Female,42,41293,No
516,Dallas,Male,40,41839,No
517,Dallas,Male,44,30793,No
518,Dallas,Male,38,54458,No
519,Dallas,Male,49,49072,No
520,Dallas,Male,57,54934,No
521,Dallas,Male,35,41343,Yes
522,Dallas,Male,38,53541,No
523,Dallas,Male,26,48037,No
524,Dallas,Male,41,41605,No
525,Dallas,Male,60,45227,No
526,Dallas,Female,34,42464,No
527,Dallas,Male,62,63050,No
528,Dallas,Male,63,42432,No
529,Dallas,Male,61,59681,No
530,Dallas,Female,45,49479,Yes
531,Dallas,Male,38,62406,No
532,Dallas,Male,63,44482,No
533,Dallas,Female,38,26356,No
534,Dallas,Female,39,40111,No
535,Dallas,Male,56,28423,No
536,Dallas,Female,27,46029,No
537,Dallas,Female,51,43165,No
538,Dallas,Female,33,35044,No
539,Dallas,Male,28,43578,No
540,Dallas,Male,54,44490,No
541,Dallas,Male,54,53673,No
542,Dallas,Male,30,40663,No
543,Dallas,Male,29,48660,No
544,Dallas,Female,27,48563,No
545,Dallas,Male,32,61141,No
546,Dallas,Male,43,53874,No
547,Dallas,Female,37,51319,No
548,Dallas,Male,53,60439,No
549,Dallas,Male,34,71444,Yes
550,Dallas,Male,52,35988,No
551,Dallas,Male,26,42681,No
552,Dallas,Male,48,47954,No
553,Dallas,Male,30,53567,No
554,Dallas,Female,41,47544,No
555,Dallas,Male,52,37783,No
556,Dallas,Female,54,42445,No
557,Dallas,Female,51,26948,Yes
558,Dallas,Female,57,39201,No
559,Dallas,Female,59,41835,No
560,Dallas,Female,64,29372,No
561,Dallas,Female,28,46954,No
562,Dallas,Male,63,60188,No
563,Dallas,Male,28,49720,Yes
564,Dallas,Female,61,47136,No
565,Dallas,Male,59,34991,No
566,Dallas,Female,44,41485,No
567,Dallas,Female,41,44699,No
568,Dallas,Female,47,61749,No
569,Dallas,Male,58,49861,No
570,Dallas,Female,31,51080,No
571,Dallas,Male,28,58489,No
572,Dallas,Male,39,39856,No
573,Dallas,Male,36,40933,No
574,Dallas,Female,50,40577,No
575,Dallas,Female,38,38757,No
576,Dallas,Male,59,45007,No
577,Dallas,Male,49,44953,No
578,Dallas,Male,39,50794,No
579,Dallas,Female,31,42573,No
580,Dallas,Male,31,45431,Yes
581,Dallas,Female,35,26015,No
582,Dallas,Male,34,34455,No
583,Dallas,Female,63,47515,No
584,Dallas,Male,51,54691,No
585,Dallas,Male,63,43529,No
586,Dallas,Male,60,28389,No
587,Dallas,Male,60,54539,No
588,Dallas,Female,48,43487,No
589,Dallas,Male,46,64963,No
590,Dallas,Female,32,40353,No
591,Dallas,Female,49,45418,No
592,Dallas,Female,60,20841,No
593,Dallas,Male,62,37290,No
594,Dallas,Male,29,31931,No
595,Dallas,Female,57,36561,No
596,Dallas,Female,40,34635,No
597,Dallas,Male,55,38802,No
598,Dallas,Male,44,55015,No
599,Dallas,Male,37,52912,No
600,Dallas,Female,56,45366,No
601,Dallas,Male,33,65415,No
602,Dallas,Female,36,43192,No
603,Dallas,Male,53,64756,No
604,Dallas,Female,57,23256,No
605,Dallas,Male,30,38423,No
606,Dallas,Male,34,65255,No
607,Dallas,Male,42,27766,No
608,Dallas,Female,57,37490,Yes
609,Dallas,Male,49,33521,No
610,Dallas,Female,43,59030,Yes
611,Dallas,Male,27,44095,Yes
612,Dallas,Female,33,17621,No
613,Dallas,Male,50,56806,No
614,Dallas,Male,61,36315,Yes
615,Dallas,Male,49,40709,No
616,Dallas,Female,27,32661,Yes
617,Dallas,Male,34,55377,No
618,Dallas,Female,47,54937,No
619,Dallas,Male,56,51930,No
620,Dallas,Male,33,47158,No
621,Dallas,Female,43,27012,No
622,Dallas,Male,35,62429,No
623,Dallas,Female,48,33033,Yes
624,Dallas,Male,51,67959,No
625,Dallas,Male,56,44904,No
626,Dallas,Male,25,55047,No
627,Dallas,Male,31,53915,No
628,Dallas,Male,57,25278,No
629,Dallas,Female,52,13117,No
630,Dallas,Male,60,55998,No
631,Dallas,Female,39,56619,No
632,Dallas,Female,45,24670,No
633,Dallas,Male,60,40443,No
634,Dallas,Female,33,18417,Yes
635,Dallas,Female,26,46760,No
636,Dallas,Male,27,57092,No
637,Dallas,Female,36,48604,No
638,Dallas,Female,31,57326,No
639,Dallas,Female,29,32876,No
640,Dallas,Male,41,64982,No
641,Dallas,Female,58,41537,No
642,Dallas,Male,61,64590,No
643,Dallas,Male,25,46542,No
644,Dallas,Female,44,47283,No
645,Dallas,Female,41,50469,No
646,Dallas,Female,33,25063,No
647,Dallas,Male,33,56704,No
648,Dallas,Female,34,28171,No
649,Dallas,Male,34,51531,No
650,Dallas,Female,42,38854,No
651,Dallas,Male,31,28405,No
652,Dallas,Female,30,38758,No
653,Dallas,Female,26,39756,No
654,Dallas,Male,49,48151,Yes
655,Dallas,Male,60,46927,No
656,Dallas,Male,29,67747,No
657,Dallas,Female,37,42772,No
658,Dallas,Female,53,33410,No
659,Dallas,Male,31,44721,Yes
660,Dallas,Male,58,53322,No
661,Dallas,Male,61,45173,No
662,Dallas,Male,36,48435,No
663,Dallas,Male,62,68444,No
664,Dallas,Male,48,58958,No
665,Dallas,Male,34,49033,No
666,Dallas,Male,37,40801,Yes
667,Dallas,Male,58,50925,No
668,Dallas,Female,61,35923,No
669,Dallas,Male,39,31183,No
670,Dallas,Female,37,43244,No
671,Dallas,Female,33,26083,No
672,Dallas,Male,59,58296,No
673,Dallas,Male,27,47042,No
674,Dallas,Male,58,54592,No
675,Dallas,Male,62,54695,No
676,Dallas,Male,56,58579,Yes
677,Dallas,Female,29,26525,No
678,Dallas,Male,59,41503,No
679,Dallas,Male,64,60542,No
680,Dallas,Male,35,40298,No
681,Dallas,Female,26,31986,No
682,Dallas,Male,44,54249,No
683,Dallas,Male,35,49598,No
684,Dallas,Male,58,47039,Yes
685,Dallas,Female,55,25885,No
686,Dallas,Male,56,42937,No
687,Dallas,Female,32,32771,No
688,Dallas,Female,64,24096,No
689,Dallas,Male,50,65680,No
690,Dallas,Male,62,46347,No
691,Dallas,Male,55,50728,No
692,Dallas,Female,61,34677,No
693,Dallas,Male,41,54310,No
694,Dallas,Female,56,36533,No
695,Dallas,Male,27,47447,No
696,Dallas,Female,63,46860,No
697,Dallas,Male,57,32742,No
698,Dallas,Female,27,52934,No
699,Dallas,Male,64,33924,No
700,Dallas,Male,37,41361,No
701,Dallas,Female,26,44766,No
702,Dallas,Male,49,59412,No
703,Dallas,Male,50,70098,No
704,Dallas,Male,32,52021,No
705,Dallas,Male,41,43035,No
706,Dallas,Male,44,52407,Yes
707,Dallas,Male,47,61120,No
708,Dallas,Female,57,17477,No
709,Dallas,Male,43,39126,No
710,Dallas,Female,53,36091,No
711,Dallas,Male,44,56030,No
712,Dallas,Male,60,44660,No
713,Dallas,Female,60,32494,No
714,Dallas,Female,54,30154,No
715,Dallas,Female,65,37573,No
716,Dallas,Male,58,66328,No
717,Dallas,Female,51,46914,No
718,Dallas,Male,26,48537,No
719,Dallas,Female,44,34378,No
720,Dallas,Male,46,56861,No
721,Dallas,Female,46,36251,No
722,Dallas,Female,55,35881,No
723,Dallas,Female,35,40959,No
724,Dallas,Female,58,46841,No
725,Dallas,Male,58,51566,Yes
726,Dallas,Male,38,42284,No
727,Dallas,Male,43,62323,Yes
728,Dallas,Male,46,62920,No
729,Dallas,Male,46,44701,No
730,Dallas,Male,53,57143,No
731,Dallas,Male,39,58209,No
732,Dallas,Female,32,25184,No
733,Dallas,Male,47,40010,No
734,Dallas,Male,37,35115,No
735,Dallas,Male,54,66886,No
736,Dallas,Male,54,63370,No
737,Dallas,Male,33,60415,No
738,Dallas,Male,44,52600,No
739,Dallas,Female,33,41330,No
740,Dallas,Female,28,55292,No
741,Dallas,Female,61,47977,No
742,Dallas,Male,40,45806,No
743,Dallas,Male,52,50079,No
744,Dallas,Male,32,48691,Yes
745,Dallas,Female,44,18824,No
746,Dallas,Female,28,37253,No
747,Dallas,Male,61,38909,No
748,Dallas,Female,32,29377,No
749,Dallas,Female,54,22799,No
750,Dallas,Female,37,37639,No
751,Dallas,Male,32,55946,No
752,Dallas,Female,47,38827,No
753,Dallas,Female,27,39059,No
754,Dallas,Male,25,38309,No
755,Dallas,Female,44,32340,No
756,Dallas,Male,54,55303,No
757,Dallas,Male,55,61070,No
758,Dallas,Male,33,34942,No
759,Dallas,Male,49,44921,No
760,Dallas,Male,36,48636,No
761,Dallas,Male,56,53506,No
762,Dallas,Male,56,51181,No
763,Dallas,Male,35,49869,No
764,Dallas,Male,61,47194,No
765,Dallas,Female,30,22656,No
766,Dallas,Female,46,43371,No
767,Dallas,Female,64,44016,No
768,Dallas,Male,34,29313,No
769,Dallas,Female,44,39696,No
770,Dallas,Male,52,39992,No
771,Dallas,Female,45,43782,No
772,Dallas,Female,47,28467,No
773,Dallas,Male,48,32165,No
774,Dallas,Female,58,30819,Yes
775,Dallas,Male,36,44180,Yes
776,Dallas,Male,47,60421,No
777,Dallas,Female,36,37897,No
778,Dallas,Male,55,49938,No
779,Dallas,Male,31,46913,No
780,Dallas,Female,34,55225,No
781,Dallas,Female,56,38370,No
782,Dallas,Male,33,59807,No
783,Dallas,Male,52,41553,No
784,Dallas,Female,50,20388,Yes
785,Dallas,Male,30,33038,No
786,Dallas,Female,38,34887,No
787,Dallas,Male,60,39288,No
788,Dallas,Male,33,47754,No
789,Dallas,Female,48,35498,No
790,Dallas,Female,62,35030,No
791,Dallas,Female,41,32022,No
792,Dallas,Female,30,35147,No
793,Dallas,Female,59,33341,Yes
794,Dallas,Female,60,40919,No
795,Dallas,Male,40,68370,Yes
796,Dallas,Female,59,44322,No
797,Dallas,Female,38,41593,No
798,Dallas,Male,40,37394,No
799,Dallas,Female,29,43899,No
800,Dallas,Male,27,46188,No
801,Dallas,Male,64,48506,No
802,Dallas,Female,49,42049,Yes
803,Dallas,Male,49,73003,No
804,Dallas,Female,54,24569,No
805,Dallas,Male,29,46306,No
806,Dallas,Female,55,27714,No
807,Dallas,Female,29,44342,No
808,Dallas,Female,53,33568,No
809,Dallas,Male,25,53258,Yes
810,Dallas,Female,28,35340,No
811,Dallas,Male,32,53618,No
812,Dallas,Male,30,56898,No
813,Dallas,Male,30,37435,No
